episode,reward
1,-35.60000000000012
2,-40.40000000000011
3,-7.399999999999984
4,-30.000000000000107
5,-28.000000000000085
6,3.200000000000003
7,-26.40000000000006
8,-5.5999999999999766
9,-30.800000000000118
10,-29.600000000000094
11,-25.600000000000055
12,3.4000000000000066
13,-10.40000000000002
14,-12.500000000000039
15,-12.900000000000045
16,-28.40000000000006
17,-19.10000000000007
18,-0.999999999999984
19,-7.09999999999998
20,6.999999999999998
21,-7.29999999999999
22,-10.000000000000007
23,-26.40000000000008
24,2.500000000000006
25,0.6000000000000139
26,-25.20000000000005
27,4.7
28,-11.900000000000038
29,-6.79999999999999
30,-13.000000000000043
31,-4.999999999999979
32,-0.7999999999999847
33,-5.799999999999976
34,-9.400000000000002
35,3.8000000000000043
36,3.000000000000007
37,6.799999999999999
38,-1.4999999999999822
39,-1.0999999999999854
40,4.499999999999998
41,-13.500000000000046
42,7.299999999999999
43,7.499999999999999
44,3.5000000000000053
45,-0.7999999999999847
46,-2.59999999999998
47,7.299999999999999
48,3.8000000000000034
49,-0.2999999999999847
50,-5.599999999999971
51,7.8999999999999995
52,-6.099999999999966
53,6.099999999999998
54,-0.09999999999998366
55,7.8999999999999995
56,0.30000000000001315
57,8.299999999999999
58,7.3999999999999995
59,-7.799999999999997
60,8.1
61,2.3000000000000096
62,6.8999999999999995
63,8.0
64,-4.099999999999973
65,7.8
66,7.599999999999999
67,7.199999999999999
68,-4.899999999999977
69,8.0
70,8.5
71,-1.1999999999999833
72,7.199999999999999
73,8.5
74,1.6000000000000139
75,8.5
76,7.799999999999999
77,3.5000000000000036
78,8.0
79,8.299999999999999
80,2.7000000000000064
81,8.5
82,7.299999999999999
83,8.299999999999999
84,8.299999999999999
85,8.5
86,8.5
87,8.5
88,8.299999999999999
89,8.299999999999999
90,8.5
91,8.5
92,8.5
93,7.8
94,8.5
95,8.299999999999999
96,8.299999999999999
97,8.5
98,8.299999999999999
99,8.299999999999999
100,8.0
101,8.5
102,8.299999999999999
103,7.499999999999999
104,8.0
105,-3.299999999999976
106,8.0
107,5.6
108,8.5
109,8.5
110,8.5
111,7.799999999999999
112,8.5
113,8.5
114,8.299999999999999
115,8.0
116,8.5
117,8.5
118,8.5
119,8.299999999999999
120,8.5
121,8.299999999999999
122,8.299999999999999
123,8.299999999999999
124,8.0
125,8.5
126,8.5
127,8.5
128,8.0
129,8.5
130,8.299999999999999
131,8.299999999999999
132,8.5
133,8.5
134,7.5
135,8.0
136,7.799999999999999
137,8.5
138,8.299999999999999
139,8.299999999999999
140,8.299999999999999
141,7.5
142,8.5
143,8.0
144,8.5
145,8.5
146,8.299999999999999
147,8.5
148,8.299999999999999
149,8.5
150,8.5
151,8.1
152,8.5
153,8.299999999999999
154,8.5
155,8.1
156,8.5
157,8.0
158,8.0
159,8.5
160,8.299999999999999
161,8.299999999999999
162,8.5
163,8.0
164,8.5
165,8.5
166,8.299999999999999
167,8.5
168,8.5
169,8.299999999999999
170,8.5
171,8.5
172,8.299999999999999
173,8.299999999999999
174,8.5
175,8.5
176,6.799999999999999
177,7.999999999999999
178,8.5
179,7.8
180,8.299999999999999
181,8.5
182,8.299999999999999
183,7.799999999999999
184,8.5
185,8.5
186,8.5
187,8.5
188,8.5
189,8.5
190,8.5
191,8.1
192,8.5
193,8.299999999999999
194,7.8
195,8.299999999999999
196,8.5
197,7.999999999999999
198,8.5
199,8.5
200,8.299999999999999
201,8.5
202,8.5
203,7.999999999999999
204,8.0
205,8.5
206,8.5
207,8.5
208,8.5
209,8.299999999999999
210,7.8
211,7.299999999999999
212,8.299999999999999
213,8.299999999999999
214,8.5
215,8.5
216,8.5
217,8.299999999999999
218,8.5
219,8.5
220,8.299999999999999
221,8.5
222,7.799999999999999
223,8.5
224,8.5
225,8.299999999999999
226,7.999999999999999
227,8.5
228,8.0
229,8.299999999999999
230,8.5
231,8.5
232,8.5
233,8.5
234,8.299999999999999
235,8.0
236,8.299999999999999
237,7.8
238,8.299999999999999
239,8.1
240,8.299999999999999
241,8.0
242,7.499999999999998
243,8.5
244,8.299999999999999
245,8.5
246,7.799999999999999
247,8.5
248,8.5
249,8.5
250,8.5
251,7.6
252,8.5
253,8.5
254,8.299999999999999
255,8.5
256,8.5
257,8.5
258,7.999999999999999
259,8.5
260,7.8999999999999995
261,7.499999999999999
262,8.5
263,8.299999999999999
264,8.5
265,7.8
266,8.5
267,8.5
268,8.5
269,8.5
270,8.5
271,8.5
272,8.5
273,8.0
274,8.5
275,7.6
276,8.5
277,8.5
278,7.8
279,8.299999999999999
280,7.799999999999999
281,8.5
282,8.299999999999999
283,7.999999999999999
284,8.5
285,8.299999999999999
286,8.0
287,8.5
288,8.299999999999999
289,8.5
290,8.5
291,8.5
292,8.5
293,8.5
294,8.299999999999999
295,8.0
296,8.5
297,8.0
298,8.299999999999999
299,8.299999999999999
300,8.5
