episode,total_reward_agent1
1,-4.6000000000000005
2,0.3999999999999999
3,-2.6
4,-1.6000000000000003
5,-2.6
6,-2.6
7,-2.6000000000000005
8,-1.6000000000000003
9,-4.6000000000000005
10,-5.6
11,-4.6000000000000005
12,-3.6000000000000005
13,-5.6
14,-2.6
15,-4.6
16,-2.6000000000000005
17,-4.6
18,-1.6
19,-2.6000000000000005
20,-3.6000000000000005
21,-1.6
22,-1.6
23,-2.6000000000000005
24,-1.6
25,-2.6000000000000005
26,-4.6
27,-1.6
28,-3.6000000000000005
29,-0.6000000000000004
30,2.3999999999999995
31,-3.6000000000000005
32,-2.6000000000000005
33,-2.6000000000000005
34,-3.6000000000000005
35,-3.6000000000000005
36,-3.6
37,-4.6000000000000005
38,-2.6000000000000005
39,-0.6000000000000005
40,-2.6000000000000005
41,-5.6
42,-2.6000000000000005
43,-3.6000000000000005
44,-5.6
45,-2.6000000000000005
46,-5.6
47,0.3999999999999998
48,-5.6
49,-3.6000000000000005
50,-4.6000000000000005
51,-1.6000000000000003
52,-2.6000000000000005
53,-3.6000000000000005
54,-4.6000000000000005
55,-3.6000000000000005
56,-1.6
57,-3.6000000000000005
58,-3.6000000000000005
59,-1.6000000000000005
60,-3.6000000000000005
61,-3.6000000000000005
62,-3.6000000000000005
63,-2.6000000000000005
64,-3.6000000000000005
65,-3.6000000000000005
66,-2.6000000000000005
67,-0.6
68,-2.6000000000000005
69,-2.6000000000000005
70,-2.6000000000000005
71,-3.6000000000000005
72,-2.6000000000000005
73,-3.6000000000000005
74,9.4
75,-4.6000000000000005
76,-4.6
77,-4.6000000000000005
78,0.3999999999999999
79,-3.6000000000000005
80,-2.6
81,-0.6000000000000004
82,-3.6000000000000005
83,-3.6000000000000005
84,-2.6000000000000005
85,-0.6000000000000003
86,-0.6
87,-2.6000000000000005
88,-3.6000000000000005
89,-2.6000000000000005
90,-3.6000000000000005
91,-4.6
92,-0.6
93,-2.6000000000000005
94,-3.6000000000000005
95,-4.6000000000000005
96,-5.6
97,-4.6000000000000005
98,-2.6000000000000005
99,-3.6000000000000005
100,-2.6000000000000005
101,-3.6000000000000005
102,-3.6000000000000005
103,-4.6000000000000005
104,-2.6000000000000005
105,-3.6
106,-4.6
107,-1.6
108,-3.6
109,-3.6000000000000005
110,-2.6000000000000005
111,-1.6000000000000005
