episode,reward
1,-37.20000000000012
2,-30.000000000000107
3,-15.600000000000048
4,-32.80000000000009
5,-13.100000000000048
6,-26.80000000000007
7,-31.60000000000009
8,-20.300000000000086
9,0.6000000000000139
10,-7.699999999999992
11,-25.20000000000006
12,-1.0999999999999766
13,6.599999999999998
14,-29.200000000000063
15,-28.000000000000078
16,-12.70000000000002
17,6.499999999999998
18,-8.199999999999982
19,-12.400000000000045
20,5.200000000000002
21,-16.000000000000025
22,-6.399999999999974
23,0.9000000000000092
24,-11.90000000000002
25,-11.600000000000051
26,5.300000000000001
27,-5.39999999999997
28,5.100000000000001
29,-14.200000000000049
30,-8.0
31,-6.499999999999979
32,-0.6999999999999815
33,3.7000000000000073
34,6.799999999999999
35,3.000000000000008
36,-26.400000000000077
37,7.999999999999999
38,-3.899999999999981
39,6.799999999999999
40,1.4000000000000092
41,2.9000000000000075
42,-14.400000000000045
43,8.299999999999999
44,-14.800000000000072
45,7.299999999999999
46,-2.7999999999999847
47,6.799999999999998
48,6.799999999999999
49,6.199999999999999
50,-2.3999999999999773
51,8.1
52,7.299999999999999
53,7.799999999999999
54,-1.9999999999999822
55,4.200000000000004
56,8.1
57,4.600000000000001
58,3.2000000000000064
59,7.099999999999999
60,4.899999999999999
61,7.799999999999999
62,8.5
63,2.0000000000000107
64,8.0
65,2.400000000000011
66,8.1
67,8.299999999999999
68,8.5
69,2.300000000000008
70,8.5
71,8.5
72,8.1
73,8.5
74,2.6000000000000094
75,8.0
76,8.299999999999999
77,8.299999999999999
78,8.5
79,8.5
80,8.299999999999999
81,8.0
82,8.5
83,7.999999999999999
84,8.5
85,8.5
86,8.5
87,8.5
88,8.299999999999999
89,8.5
90,8.1
91,8.5
92,8.5
93,8.299999999999999
94,8.5
95,8.299999999999999
96,8.299999999999999
97,8.5
98,8.299999999999999
99,5.6
100,8.5
101,8.5
102,7.5
103,8.5
104,8.5
105,8.5
106,8.299999999999999
107,8.5
108,8.5
109,8.5
110,8.299999999999999
111,8.5
112,8.5
113,7.6
114,8.5
115,8.5
116,8.5
117,8.5
118,8.5
119,7.8999999999999995
120,8.5
121,8.5
122,8.5
123,8.5
124,8.5
125,8.5
126,8.0
127,8.5
128,8.299999999999999
129,8.299999999999999
130,8.5
131,7.799999999999999
132,8.299999999999999
133,8.5
134,8.5
135,8.5
136,8.5
137,8.299999999999999
138,8.299999999999999
139,8.299999999999999
140,8.5
141,8.5
142,8.5
143,8.0
144,8.5
145,8.5
146,8.299999999999999
147,7.5
148,8.299999999999999
149,8.299999999999999
150,8.0
151,7.799999999999999
152,8.299999999999999
153,8.5
154,8.5
155,8.5
156,8.5
157,8.5
158,8.5
159,8.5
160,8.5
161,8.5
162,8.5
163,8.5
164,7.499999999999999
165,7.799999999999999
166,8.5
167,7.999999999999999
168,8.299999999999999
169,8.5
170,8.5
171,8.5
172,8.299999999999999
173,7.599999999999999
174,8.5
175,8.299999999999999
176,8.299999999999999
177,8.299999999999999
178,8.299999999999999
179,8.299999999999999
180,8.0
181,8.0
182,8.5
183,8.5
184,8.5
185,7.299999999999999
186,8.299999999999999
187,8.299999999999999
188,7.5
189,8.5
190,8.5
191,8.5
192,8.5
193,8.5
194,8.299999999999999
195,8.299999999999999
196,7.999999999999999
197,8.0
198,8.5
199,8.299999999999999
200,8.5
201,8.299999999999999
202,8.5
203,8.5
204,8.5
205,8.5
206,8.5
207,8.5
208,8.5
209,8.5
210,8.5
211,8.5
212,8.0
213,8.5
214,8.0
215,8.5
216,8.299999999999999
217,7.8
218,8.299999999999999
219,7.6
220,7.299999999999999
221,8.5
222,8.5
223,8.5
224,8.5
225,8.5
226,1.3000000000000114
227,8.0
228,7.8
229,8.5
230,8.299999999999999
231,8.5
232,8.299999999999999
233,8.5
234,8.299999999999999
235,8.5
236,8.1
237,8.299999999999999
238,8.5
239,8.5
240,8.299999999999999
241,8.0
242,8.0
243,8.5
244,8.1
245,8.5
246,8.299999999999999
247,8.299999999999999
248,8.299999999999999
249,8.1
250,8.5
251,8.5
252,8.299999999999999
253,8.5
254,8.5
255,8.5
256,8.299999999999999
257,8.299999999999999
258,8.299999999999999
259,8.5
260,8.5
261,8.0
262,8.5
263,8.5
264,7.799999999999999
265,8.5
266,8.299999999999999
267,8.5
268,8.5
269,8.5
270,8.5
271,8.299999999999999
272,8.5
273,8.299999999999999
274,8.5
275,8.0
276,8.5
277,8.5
278,8.299999999999999
279,8.0
280,8.299999999999999
281,8.5
282,8.5
283,7.5
284,8.299999999999999
285,8.5
286,8.5
287,8.5
288,8.0
289,7.6
290,8.5
291,8.5
292,8.299999999999999
293,8.299999999999999
294,8.5
295,8.5
296,8.5
297,7.999999999999999
298,8.5
299,8.299999999999999
300,8.5
